,peaktopeak,phase,frequency
0,0.9893,-0.020943951023931952,200
1,0.9893,-0.056548667764616284,600
2,0.9831,-0.11274826967883368,1200
3,0.9807,-0.12409290981679684,1400
4,0.9795,-0.12950343049797924,1600
5,0.9763999999999999,-0.14782938764391973,1800
6,0.974,-0.14835298641951802,2000
7,0.9342999999999999,-0.31834805556376566,4000
8,0.8757,-0.5256931707006921,6000
9,0.8097000000000001,-0.6602580560294549,8000
10,0.7437999999999999,-0.6614797865058508,10000
11,0.6827000000000001,-0.7826056365942574,12000
12,0.6277,-0.8552113334772214,14000
13,0.5789,-0.9456193887305278,16000
14,0.5337000000000001,-1.0143853612591043,18000
15,0.49460000000000004,-1.0740756216773104,20000
16,0.4604,-1.079486142358493,22000
17,0.3658,-1.17268672441499,30000
18,0.22469999999999998,-1.3247049022636963,50000
19,0.1172,-1.4240141367021735,100000
20,0.07937999999999999,-1.577777643802874,150000
